 ,,,,,,,,,,,,,,,
,Date:,11/17/2020,,,,,,,,,,,,,
,Y,(Y/N),Is the water heater electric? (If Y then 9 thru 14 may be skipped),,,,,,,,,,,,
1,30.347,Gal,"Volume (If Volume is entered then items 2 thru 4 may be skipped, otherwise leave as 0)",,,,,,,,,,,,
2,,lb,Weight of water heater empty,,,,,,,,,,,,
3,,lb,Weight of water heater full,,,,,,,,,,,,
4,,DegF,Temperature of water in water heater full,,,,,,,,,,,,
*,1640.148,Btu,Qstby,Qsu0-Qsuf (requires input at Qsu0 and Qsuf),,,,,,,,,,,
6,117.117,DegF,T24,Mean Tank Temp at end of test,,,,,,,,,,,
*,122.717,DegF,"Tsu,f",the mean tank temperature observed at the minute prior to the start of the draw following the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
7,119.550,DegF,"Tsu,0",Max Mean Tank Temp after last draw recovery,,,,,,,,,,,
*,7.517,Hr,tstby1,"elapsed time between the time at which the maximum mean tank temperature is observed after the first draw cluster and the minute prior to the start of the first draw following the end of the first draw cluster of the 24-hour simulated use test or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster, h",,,,,,,,,,,
8,NA,Hr,tstby,Time from last draw / recovery Tmax to 24 hours.,,,,,,,,,,,
*,14659.999,Btu,"Qsu,0",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the time at which the maximum mean tank temperature is attained after the recovery following the end of the first draw cluster,,,,,,,,,,,
*,16300.148,Btu,"Qsu,f",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the minute prior to the start of the draw following the end of the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
*,16.810,Gal,V1,Gallons drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
*,124.896,DegF,Tdel1,Average outlet temperature of water drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
11,57.519,DegF,Tin1,Average inlet water temperature of water introduced prior to completion of the FIRST recovery event.,,,,,,,,,,,
12,117.700,DegF,Tmax1,Max mean tank temp after the FIRST recovery event.,,,,,,,,,,,
13,120.183,DegF,To,Initial mean tank temp as observed 1 minute prior to start,,,,,,,,,,,
14,9005.974,Btu,Qr,Energy used from the start of the test through the FIRST recovery event when Tmax1 occurrs,,,,,,,kwhx3412=btu,,,,
15,119.118,DegF,Ttstby1,overall average storage tank temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
16,68.574,DegF,Tastby1,overall average ambient temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
*,32489.064,Btu,Q,Total energy used during the 24 hour simulated use test (Q24-Q0),,,,,,,,,,,
18,120.183,DegF,To,Initial mean tank temp.,,,,,,,,,,,
19,,DegF,Tstby2,Average mean tank temp during all standby.,,,,Not used in UEF calculation.,,,,,,,
20,68.715,DegF,Tastby2,Average ambient temp during all standby.,,,,,,,,,,,
21,23.406,Hr,tstby2,Total standby time.,,,,,,,,,,,
22,Draw #,Vol (Gal),Tin-avg (DegF),Tout-avg (DegF),Mass = Volume * Density,,,,,,,,,,
,V1,16.81,57.5,124.9,Water drawn prior to FIRST recovery event,,,,,,,,Gallons,gpm,minutes
,1,14.83,57.6,125.0,,,,,,,,,15.00,1.7,8.824
,2,1.98,57.2,124.4,,,,,,,,,2.00,1.0,2.000
,3,8.93,57.2,124.7,,,,,,,,,9.00,1.7,5.294
,4,8.93,57.4,125.7,,,,,,,,,9.00,1.7,5.294
,5,4.98,57.1,125.7,,,,,,,,,5.00,1.7,2.941
,6,0.99,57.4,124.1,,,,,,,,,1.00,1.0,1.000
,7,0.98,57.3,125.0,,,,,,,,,1.00,1.0,1.000
,8,1.00,57.3,125.5,,,,,,,,,1.00,1.0,1.000
,9,1.00,57.7,122.6,,,,,,,,,1.00,1.0,1.000
,10,1.99,57.2,125.1,,,,,,,,,2.00,1.0,2.000
,11,2.03,56.9,124.4,,,,,,,,,2.00,1.7,1.176
,12,6.94,57.2,126.1,,,,,,,,,7.00,1.7,4.118
,Total,54.56,na,na,,,,,,,,,,Total minutes,35.647
,Ave,,,,,,,,,,,,,Total hours,0.594
,,,,,,,,,,,,,,"Total standby time, tstby2",23.406
Outputs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Qhr,110.5938321,Btu/Hr,Hourly Standby Losses,,,,,,,,,,,
2,Ua,2.188048764,Btu/Hr °F,Standby heat loss coefficient,,,,,,,,,,,
3,Qd,33272.53137,Btu/Day,Daily Water Heating Energy Consumption,,,,,,,,,,,
4,Qda,33334.76069,Btu/Day,Adjusted Daily Water Heating Energy Consumption,,,,,,,,,,,
5,Qhw,31462.11338,Btu/Day,Energy Used to heat water,,,,,,,,,,,
6,Qhw67,31074.55221,Btu/Day,Energy Used to heat water over a 67 DegF rise.,,,,,,,,,,,
7,Qhwd,-387.5611684,Btu/Day,,,,,,,,,,,,
8,Qdm,32947.19952,Btu/Day,Modified daily water heating energy consumption.,,,,,,,,,,,
9,Ef,0.924,,Energy Factor,,,,,,,,,,,
10,Nr,0.98,,Recovery Efficiency,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
