19WS1283  GE40S12BLM01,,,,,,,,,,,,,,,
,Date:,11/17/2020,,,,,,,,,,,,,
,Y,(Y/N),Is the water heater electric? (If Y then 9 thru 14 may be skipped),,,,,,,,,,,,
1,39.917,Gal,"Volume (If Volume is entered then items 2 thru 4 may be skipped, otherwise leave as 0)",,,,,,,,,,,,
2,,lb,Weight of water heater empty,,,,,,,,,,,,
3,,lb,Weight of water heater full,,,,,,,,,,,,
4,,DegF,Temperature of water in water heater full,,,,,,,,,,,,
*,25.931,Btu,Qstby,Qsu0-Qsuf (requires input at Qsu0 and Qsuf),,,,,,,,,,,
6,120.083,DegF,T24,Mean Tank Temp at end of test,,,,,,,,,,,
*,104.467,DegF,"Tsu,f",the mean tank temperature observed at the minute prior to the start of the draw following the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
7,105.417,DegF,"Tsu,0",Max Mean Tank Temp after last draw recovery,,,,,,,,,,,
*,8.642,Hr,tstby1,"elapsed time between the time at which the maximum mean tank temperature is observed after the first draw cluster and the minute prior to the start of the first draw following the end of the first draw cluster of the 24-hour simulated use test or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster, h",,,,,,,,,,,
8,NA,Hr,tstby,Time from last draw / recovery Tmax to 24 hours.,,,,,,,,,,,
*,9326.702,Btu,"Qsu,0",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the time at which the maximum mean tank temperature is attained after the recovery following the end of the first draw cluster,,,,,,,,,,,
*,9352.633,Btu,"Qsu,f",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the minute prior to the start of the draw following the end of the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
*,16.871,Gal,V1,Gallons drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
*,124.842,DegF,Tdel1,Average outlet temperature of water drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
11,57.906,DegF,Tin1,Average inlet water temperature of water introduced prior to completion of the FIRST recovery event.,,,,,,,,,,,
12,126.383,DegF,Tmax1,Max mean tank temp after the FIRST recovery event.,,,,,,,,,,,
13,123.450,DegF,To,Initial mean tank temp as observed 1 minute prior to start,,,,,,,,,,,
14,9322.949,Btu,Qr,Energy used from the start of the test through the FIRST recovery event when Tmax1 occurrs,,,,,,,kwhx3412=btu,,,,
15,105.474,DegF,Ttstby1,overall average storage tank temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
16,67.900,DegF,Tastby1,overall average ambient temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
*,31923.696,Btu,Q,Total energy used during the 24 hour simulated use test (Q24-Q0),,,,,,,,,,,
18,123.450,DegF,To,Initial mean tank temp.,,,,,,,,,,,
19,,DegF,Tstby2,Average mean tank temp during all standby.,,,,Not used in UEF calculation.,,,,,,,
20,68.016,DegF,Tastby2,Average ambient temp during all standby.,,,,,,,,,,,
21,23.406,Hr,tstby2,Total standby time.,,,,,,,,,,,
22,Draw #,Vol (Gal),Tin-avg (DegF),Tout-avg (DegF),Mass = Volume * Density,,,,,,,,,,
,V1,16.87,57.9,124.8,Water drawn prior to FIRST recovery event,,,,,,,,Gallons,gpm,minutes
,1,14.86,57.9,125.2,,,,,,,,,15.00,1.7,8.824
,2,2.01,58.0,123.2,,,,,,,,,2.00,1.0,2.000
,3,8.98,57.8,125.6,,,,,,,,,9.00,1.7,5.294
,4,8.98,57.8,120.0,,,,,,,,,9.00,1.7,5.294
,5,5.00,58.0,125.8,,,,,,,,,5.00,1.7,2.941
,6,1.00,57.8,124.5,,,,,,,,,1.00,1.0,1.000
,7,1.00,58.2,123.6,,,,,,,,,1.00,1.0,1.000
,8,1.00,58.5,124.7,,,,,,,,,1.00,1.0,1.000
,9,1.01,58.3,120.4,,,,,,,,,1.00,1.0,1.000
,10,2.00,57.9,122.6,,,,,,,,,2.00,1.0,2.000
,11,2.03,57.7,121.7,,,,,,,,,2.00,1.7,1.176
,12,7.00,57.7,121.7,,,,,,,,,7.00,1.7,4.118
,Total,54.86,na,na,,,,,,,,,,Total minutes,35.647
,Ave,,,,,,,,,,,,,Total hours,0.594
,,,,,,,,,,,,,,"Total standby time, tstby2",23.406
Outputs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Qhr,40.06615009,Btu/Hr,Hourly Standby Losses,,,,,,,,,,,
2,Ua,1.066327961,Btu/Hr °F,Standby heat loss coefficient,,,,,,,,,,,
3,Qd,33054.54452,Btu/Day,Daily Water Heating Energy Consumption,,,,,,,,,,,
4,Qda,33067.41187,Btu/Day,Adjusted Daily Water Heating Energy Consumption,,,,,,,,,,,
5,Qhw,30645.89469,Btu/Day,Energy Used to heat water,,,,,,,,,,,
6,Qhw67,31241.85383,Btu/Day,Energy Used to heat water over a 67 DegF rise.,,,,,,,,,,,
7,Qhwd,595.9591429,Btu/Day,,,,,,,,,,,,
8,Qdm,33663.37101,Btu/Day,Modified daily water heating energy consumption.,,,,,,,,,,,
9,Ef,0.910,,Energy Factor,,,,,,,,,,,
10,Nr,0.98,,Recovery Efficiency,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
